Acalypha virginica:plant
Acocanthera oblongifolia:plant
Acocanthera oppositifolia:plant
Acocanthera spectabilis:plant
Acocanthera venenata:plant
Adam's apple:plant
Adenium multiflorum:plant
Adenium obesum:plant
African hemp:plant
American angelica tree:plant
American cranberry bush:plant
American spicebush:plant
Anadenanthera colubrina:plant
Anagyris foetida:plant
Anthyllis barba-jovis:plant
Apalachicola rosemary:plant
Aralia elata:plant
Aralia spinosa:plant
Aralia stipulata:plant
Ardisia crenata:plant
Ardisia escallonoides:plant
Ardisia paniculata:plant
Argyroxiphium sandwicense:plant
Aristotelia racemosa:plant
Aristotelia serrata:plant
Aspalathus cedcarbergensis:plant
Aspalathus linearis:plant
Aspergillus fumigatus:plant
Astroloma humifusum:plant
Australian heath:plant
Baccharis halimifolia:plant
Baccharis pilularis:plant
Baccharis viminea:plant
Bassia scoparia:plant
Batis maritima:plant
Bauhinia monandra:plant
Benjamin bush:plant
Benzoin odoriferum:plant
Biscutalla laevigata:plant
Brassaia actinophylla:plant
Brazilian potato tree:plant
Brugmansia arborea:plant
Brugmansia sanguinea:plant
Brugmansia suaveolens:plant
Brunfelsia americana:plant
Caesalpinia decapetala:plant
Caesalpinia sepiaria:plant
Cajanus cajan:plant
California beauty:plant
California redbud:plant
Camellia sinensis:plant
Canella-alba:plant
Canella winterana:plant
Catha edulis:plant
Caulophyllum thalictrioides:plant
Caulophyllum thalictroides:plant
Ceratostomella ulmi:plant
Cercis occidentalis:plant
Cercospora kopkei:plant
Cestrum diurnum:plant
Cestrum nocturnum:plant
Chamaecytisus palmensis:plant
Chamaedaphne calyculata:plant
Chile hazel:plant
Chile nut:plant
Chilean firebush:plant
Chilean flameflower:plant
Chilean hazelnut:plant
Chilean nut:plant
Chilean rimu:plant
Chilopsis linearis:plant
Chimonanthus praecox:plant
Chinese angelica:plant
Chinese angelica tree:plant
Chinese black mushroom:plant
Chinese holly:plant
Chiococca alba:plant
Christ's-thorn:plant
Christmas berry:plant
Christmasberry:plant
Chrysolepis sempervirens:plant
Cineraria maritima:plant
Claviceps purpurea:plant
Clethra alnifolia:plant
Codariocalyx motorius:plant
Codiaeum variegatum:plant
Colutea arborescens:plant
Combretum bracteosum:plant
Comptonia asplenifolia:plant
Comptonia peregrina:plant
Conradina glabra:plant
Cordyline terminalis:plant
Corticium salmonicolor:plant
Corticium solani:plant
Croton tiglium:plant
Cycloloma atriplicifolium:plant
Cyrilla racemiflora:plant
Cytesis proliferus:plant
Cytisus ramentaceus:plant
Dacridium laxifolius:plant
Dalea spinosa:plant
Dalmatian laburnum:plant
Datura arborea:plant
Datura sanguinea:plant
Datura suaveolens:plant
Desmodium gyrans:plant
Desmodium motorium:plant
Diervilla lonicera:plant
Diervilla sessilifolia:plant
Dirca palustris:plant
Dovyalis caffra:plant
Dutch elm fungus:plant
East Indian rosebay:plant
Embothrium coccineum:plant
Epigaea repens:plant
Eriodictyon californicum:plant
Eryngium maritimum:plant
Eryngium yuccifolium:plant
Erythroxylon coca:plant
Erythroxylon truxiuense:plant
Euonymus americanus:plant
Euonymus atropurpureus:plant
European cranberry bush:plant
European cranberrybush:plant
Fabiana imbricata:plant
Flacourtia indica:plant
Fomes igniarius:plant
Francoa ramosa:plant
Gastroboletus scabrosus:plant
Gastroboletus turbinatus:plant
Gastrocybe lateritia:plant
Gaultheria shallon:plant
Genista raetam:plant
Geoffroea decorticans:plant
Georgia bark:plant
German tamarisk:plant
Graptophyllum pictum:plant
Grewia asiatica:plant
Grifola frondosa:plant
Griselinia littoralis:plant
Griselinia lucida:plant
Guevina avellana:plant
Guevina heterophylla:plant
Hakea laurina:plant
Hakea leucoptera:plant
Hakea lissosperma:plant
Halimodendron argenteum:plant
Halimodendron halodendron:plant
Hazardia cana:plant
Hercules'-club:plant
Hermannia verticillata:plant
Heteromeles arbutifolia:plant
Hibiscus farragei:plant
Himalaya honeysuckle:plant
Ilex cornuta:plant
Indian currant:plant
Indian rhododendron:plant
Indigofera tinctoria:plant
Irish gorse:plant
Jacquinia armillaris:plant
Jacquinia keyensis:plant
Japan allspice:plant
Japanese allspice:plant
Japanese andromeda:plant
Japanese angelica tree:plant
Jerusalem thorn:plant
Juneberry:plant
Jupiter's beard:plant
Kiggelaria africana:plant
Kochia scoparia:plant
Kolkwitzia amabilis:plant
Labrador tea:plant
Lagerstroemia indica:plant
Lambertia formosa:plant
Larrea tridentata:plant
Lavatera arborea:plant
Ledum groenlandicum:plant
Ledum palustre:plant
Leiophyllum buxifolium:plant
Leitneria floridana:plant
Lentinus edodes:plant
Lentinus lepideus:plant
Lepechinia calycina:plant
Lepidothamnus fonkii:plant
Lepidothamnus laxifolius:plant
Leucothoe editorum:plant
Leucothoe fontanesiana:plant
Leucothoe racemosa:plant
Leycesteria formosa:plant
Lindera benzoin:plant
Loiseleuria procumbens:plant
Lupinus arboreus:plant
Lycium carolinianum:plant
Lyonia ligustrina:plant
Lyonia lucida:plant
Lyonia mariana:plant
Lysiloma sabicu:plant
Macowanites americanus:plant
Madagascar plum:plant
Mahernia verticillata:plant
Mahonia aquifolium:plant
Mahonia nervosa:plant
Malosma laurina:plant
Medinilla magnifica:plant
Melastoma malabathricum:plant
Menziesia ferruginea:plant
Menziesia pilosa:plant
Microstrobos niphophilus:plant
Myrica gale:plant
Myricaria germanica:plant
Mysore thorn:plant
Nero's crown:plant
New Zealand wine berry:plant
Ochna serrulata:plant
Oregon grape:plant
Oregon holly grape:plant
Oriental black mushroom:plant
Paliurus spina-christi:plant
Parkinsonia aculeata:plant
Pellicularia filamentosa:plant
Pellicularia koleroga:plant
Petteria ramentacea:plant
Photinia arbutifolia:plant
Phytophthora citrophthora:plant
Phytophthora infestans:plant
Pickeringia montana:plant
Pieris floribunda:plant
Pieris japonica:plant
Pinckneya pubens:plant
Piptadenia macrocarpa:plant
Pistacia lentiscus:plant
Pithecellodium unguis-cati:plant
Plasmodiophora brassicae:plant
Platylobium formosum:plant
Playlobium obtusangulum:plant
Plumbago europaea:plant
Podocarpus nivalis:plant
Pogostemon cablin:plant
Polyporus frondosus:plant
Prunus cuneata:plant
Prunus laurocerasus:plant
Prunus pumila:plant
Prunus pumilla susquehanae:plant
Prunus spinosa:plant
Prunus susquehanae:plant
Pseudowintera colorata:plant
Pyracantha:plant
Pyxidanthera barbulata:plant
Quercus vaccinifolia:plant
